         Estimate  Std. Error  t-value  Pr(>|t|)    
1001  -0.09020925  0.02721161  -3.3151 0.0009161 ***
1002  -0.09132861  0.02714388  -3.3646 0.0007665 ***
1003  -0.11004230  0.02685650  -4.0974 4.178e-05 ***
1004  -0.03716590  0.02695248  -1.3789 0.1679127    
1051  -0.11398303  0.02723136  -4.1857 2.843e-05 ***
1053  -0.11637521  0.02678345  -4.3450 1.392e-05 ***
1054  -0.07951049  0.02755422  -2.8856 0.0039067 ** 
1055  -0.11173909  0.02702336  -4.1349 3.551e-05 ***
1056  -0.16100203  0.02689233  -5.9869 2.139e-09 ***
1057  -0.14828062  0.02691402  -5.5094 3.600e-08 ***
1058  -0.11244343  0.02708743  -4.1511 3.308e-05 ***
1059  -0.12957833  0.02724146  -4.7567 1.968e-06 ***
1060  -0.11009138  0.02684489  -4.1010 4.113e-05 ***
1061  -0.10985993  0.02700820  -4.0677 4.749e-05 ***
1062  -0.11698824  0.02679973  -4.3653 1.270e-05 ***
3103   0.04308934  0.03041711   1.4166 0.1565955    
3151   0.09326900  0.02666556   3.4977 0.0004692 ***
3152   0.14370859  0.02662662   5.3972 6.770e-08 ***
3153   0.17729387  0.02746399   6.4555 1.079e-10 ***
3154   0.10320173  0.02745068   3.7595 0.0001702 ***
3155   0.14950743  0.02665862   5.6082 2.044e-08 ***
3156   0.11682215  0.02663050   4.3868 1.150e-05 ***
3157   0.12718064  0.02743268   4.6361 3.550e-06 ***
3158   0.20405382  0.03471354   5.8782 4.147e-09 ***
3241   0.09034878  0.02665725   3.3893 0.0007008 ***
3251   0.07362380  0.02675741   2.7515 0.0059318 ** 
3252   0.13920169  0.02667663   5.2181 1.808e-07 ***
3254   0.12016630  0.02665511   4.5082 6.538e-06 ***
3255   0.11915275  0.02666002   4.4693 7.846e-06 ***
3256   0.06557402  0.02674918   2.4514 0.0142286 *  
3257   0.11720425  0.02668057   4.3929 1.119e-05 ***
3351   0.07813835  0.02667702   2.9291 0.0034000 ** 
3352   0.09279379  0.02705933   3.4293 0.0006052 ***
3353   0.03302114  0.02679542   1.2323 0.2178211    
3354   0.03249611  0.02669417   1.2173 0.2234716    
3355  -0.01669087  0.02683432  -0.6220 0.5339436    
3356   0.05571769  0.02687932   2.0729 0.0381832 *  
3357   0.03564286  0.02680337   1.3298 0.1835874    
3358   0.02237607  0.02673118   0.8371 0.4025490    
3359   0.07787572  0.02684800   2.9006 0.0037243 ** 
3360   0.07161047  0.02674381   2.6776 0.0074141 ** 
3361   0.05946791  0.02681115   2.2180 0.0265528 *  
3404   0.04655658  0.02940302   1.5834 0.1133316    
3451   0.05528216  0.02695987   2.0505 0.0403122 *  
3452   0.10098898  0.02765664   3.6515 0.0002607 ***
3453   0.05147333  0.02686020   1.9163 0.0553216 .  
3454   0.02616446  0.02680863   0.9760 0.3290785    
3455   0.05777559  0.02734419   2.1129 0.0346092 *  
3456   0.06332251  0.02676827   2.3656 0.0180018 *  
3457   0.06920753  0.02742154   2.5238 0.0116081 *  
3458   0.02962027  0.02680335   1.1051 0.2691182    
3459   0.05512482  0.02670852   2.0639 0.0390233 *  
3460   0.04512453  0.02677122   1.6856 0.0918803 .  
3461   0.03617154  0.02722398   1.3287 0.1839587    
3462   0.07426038  0.02735018   2.7152 0.0066242 ** 
5116   0.23678446  0.02663934   8.8885 < 2.2e-16 ***
5119   0.21736150  0.03044002   7.1406 9.288e-13 ***
5154   0.14029786  0.02669213   5.2562 1.471e-07 ***
5158   0.13263510  0.02669550   4.9684 6.749e-07 ***
5162   0.03872921  0.02667966   1.4516 0.1466023    
5166   0.01369513  0.02667839   0.5133 0.6077123    
5170   0.17021097  0.02663470   6.3906 1.653e-10 ***
5316  -0.29462553  0.02750261 -10.7126 < 2.2e-16 ***
5358   0.10889715  0.02666441   4.0840 4.427e-05 ***
5362   0.16413716  0.02663466   6.1625 7.159e-10 ***
5366   0.04177769  0.02668171   1.5658 0.1174002    
5370   0.20035212  0.02668337   7.5085 5.973e-14 ***
5374   0.00254001  0.02674033   0.0950 0.9243245    
5382   0.11960233  0.02665534   4.4870 7.224e-06 ***
5515   0.00428094  0.02754264   0.1554 0.8764827    
5554   0.12836248  0.02666838   4.8133 1.485e-06 ***
5558   0.12557956  0.02671328   4.7010 2.589e-06 ***
5562   0.05659998  0.02664540   2.1242 0.0336540 *  
5566   0.02937486  0.02670639   1.0999 0.2713676    
5570   0.03114036  0.02667650   1.1673 0.2430759    
5711   0.10441943  0.02752595   3.7935 0.0001485 ***
5754  -0.02504019  0.02667419  -0.9387 0.3478632    
5758   0.15429461  0.02671816   5.7749 7.700e-09 ***
5762   0.14395536  0.02666933   5.3978 6.747e-08 ***
5766   0.09193166  0.02670052   3.4431 0.0005752 ***
5770   0.09587060  0.02667569   3.5939 0.0003257 ***
5774   0.07863602  0.02669172   2.9461 0.0032183 ** 
5913   0.21347042  0.02837534   7.5231 5.351e-14 ***
5914   0.29923617  0.03475324   8.6103 < 2.2e-16 ***
5915   0.18779625  0.02667297   7.0407 1.913e-12 ***
5954   0.03492515  0.02752957   1.2686 0.2045691    
5958  -0.04802038  0.02677260  -1.7936 0.0728708 .  
5962   0.01745193  0.02672501   0.6530 0.5137443    
5966  -0.16959703  0.02672702  -6.3455 2.217e-10 ***
5970   0.06454527  0.02676538   2.4115 0.0158861 *  
5974   0.11273048  0.02666731   4.2273 2.365e-05 ***
5978   0.13450474  0.02667003   5.0433 4.576e-07 ***
6411   0.13004001  0.02749512   4.7296 2.250e-06 ***
6412   0.14160473  0.02747969   5.1531 2.563e-07 ***
6413   0.11388521  0.03469356   3.2826 0.0010285 ** 
6414   0.16112395  0.02668165   6.0388 1.553e-09 ***
6431   0.14150182  0.02670739   5.2982 1.169e-07 ***
6432   0.25240487  0.02666004   9.4675 < 2.2e-16 ***
6433   0.16357239  0.02670618   6.1249 9.075e-10 ***
6434   0.08148708  0.02668646   3.0535 0.0022619 ** 
6435   0.07389292  0.02663171   2.7746 0.0055266 ** 
6436   0.15536431  0.02667333   5.8247 5.721e-09 ***
6437  -0.00470259  0.02669161  -0.1762 0.8601506    
6438   0.14713518  0.02748240   5.3538 8.613e-08 ***
6439   0.10386927  0.02672152   3.8871 0.0001014 ***
6440   0.17741411  0.02663802   6.6602 2.735e-11 ***
6531   0.15858140  0.02662882   5.9553 2.597e-09 ***
6532   0.13171399  0.02746285   4.7961 1.618e-06 ***
6533   0.07592488  0.02662042   2.8521 0.0043427 ** 
6534   0.16859017  0.02664454   6.3274 2.494e-10 ***
6535   0.14911267  0.02665454   5.5943 2.216e-08 ***
6611   0.13436756  0.03049334   4.4065 1.051e-05 ***
6631   0.10601187  0.02664376   3.9789 6.925e-05 ***
6632   0.09865601  0.02666930   3.6992 0.0002163 ***
6633   0.16306116  0.02669439   6.1084 1.006e-09 ***
6634   0.17870426  0.02665551   6.7042 2.025e-11 ***
6635   0.16176575  0.02672500   6.0530 1.422e-09 ***
6636   0.15009943  0.02667409   5.6272 1.832e-08 ***
7132   0.05810734  0.03172948   1.8313 0.0670504 .  
7134  -0.02450242  0.03474630  -0.7052 0.4806978    
7137   0.07485762  0.02943547   2.5431 0.0109871 *  
7138   0.12347462  0.03046944   4.0524 5.069e-05 ***
7140   0.07643523  0.03319609   2.3025 0.0213049 *  
7141   0.08641721  0.02747352   3.1455 0.0016582 ** 
7143   0.10744380  0.02837948   3.7860 0.0001531 ***
7231   0.05799463  0.02669940   2.1721 0.0298457 *  
7232   0.04129816  0.02669433   1.5471 0.1218449    
7235   0.05341846  0.02665262   2.0042 0.0450435 *  
7333   0.02940158  0.02934838   1.0018 0.3164340    
7336  -0.02817759  0.02662593  -1.0583 0.2899296    
7340   0.03794616  0.02833262   1.3393 0.1804698    
8115   0.08105013  0.03040439   2.6657 0.0076820 ** 
8116   0.08686581  0.02663723   3.2611 0.0011099 ** 
8117   0.13121263  0.02748388   4.7742 1.805e-06 ***
8118   0.13741131  0.02663110   5.1598 2.472e-07 ***
8119   0.05620708  0.02663591   2.1102 0.0348412 *  
8125   0.07772097  0.02664890   2.9165 0.0035401 ** 
8126   0.08766393  0.02665331   3.2890 0.0010053 ** 
8127   0.04037296  0.02663652   1.5157 0.1295953    
8128   0.04989186  0.02666005   1.8714 0.0612884 .  
8135   0.05193446  0.03170234   1.6382 0.1013821    
8136   0.06185104  0.02664921   2.3209 0.0202905 *  
8215   0.03892921  0.03169819   1.2281 0.2194016    
8216   0.03529890  0.03174192   1.1121 0.2661127    
8225   0.00696777  0.02663973   0.2616 0.7936640    
8226   0.03920197  0.02666963   1.4699 0.1415860    
8235   0.00385357  0.03166371   0.1217 0.9031343    
8236   0.12814647  0.02661732   4.8144 1.476e-06 ***
8237   0.06099383  0.02663905   2.2896 0.0220422 *  
8315   0.03161679  0.03173203   0.9964 0.3190713    
8316   0.07067377  0.03477841   2.0321 0.0421419 *  
8317   0.03951150  0.02937758   1.3450 0.1786400    
8325   0.00272874  0.02661133   0.1025 0.9183277    
8326   0.08625569  0.03168379   2.7224 0.0064811 ** 
8327   0.06689177  0.02747084   2.4350 0.0148914 *  
8335   0.04828850  0.02662915   1.8134 0.0697748 .  
8336   0.10462344  0.03174794   3.2954 0.0009827 ***
8337   0.03468893  0.02664392   1.3019 0.1929350    
8415  -0.05681964  0.02746123  -2.0691 0.0385381 *  
8416   0.04956876  0.03165276   1.5660 0.1173446    
8417  -0.00241229  0.02662905  -0.0906 0.9278194    
8425   0.07629589  0.02664804   2.8631 0.0041952 ** 
8426   0.10634351  0.02665094   3.9902 6.601e-05 ***
8435   0.14693150  0.03171792   4.6324 3.614e-06 ***
8436   0.04708600  0.02668534   1.7645 0.0776496 .  
8437   0.05902265  0.02661709   2.2175 0.0265909 *  
9161   0.10859178  0.02667412   4.0711 4.680e-05 ***
9162   0.14371135  0.02673352   5.3757 7.629e-08 ***
9163   0.15812638  0.02696490   5.8642 4.514e-09 ***
9171   0.17325213  0.02674422   6.4781 9.287e-11 ***
9172   0.19606262  0.02705857   7.2459 4.297e-13 ***
9173  -0.00586106  0.02694071  -0.2176 0.8277767    
9174   0.07968512  0.02665402   2.9896 0.0027933 ** 
9175   0.16363337  0.02675810   6.1153 9.639e-10 ***
9176   0.16152180  0.02664115   6.0629 1.337e-09 ***
9177   0.19361293  0.02666988   7.2596 3.881e-13 ***
9178   0.08387761  0.02664116   3.1484 0.0016415 ** 
9179   0.16021267  0.02670563   5.9992 1.983e-09 ***
9181   0.12981035  0.02673039   4.8563 1.196e-06 ***
9182   0.13520265  0.02694011   5.0186 5.204e-07 ***
9183   0.20678512  0.02670371   7.7437 9.548e-15 ***
9184   0.09088494  0.02674777   3.3979 0.0006792 ***
9185   0.15630044  0.02664817   5.8653 4.482e-09 ***
9186   0.14196483  0.02663651   5.3297 9.837e-08 ***
9187   0.21622084  0.02685474   8.0515 8.882e-16 ***
9188   0.08822419  0.02681559   3.2900 0.0010018 ** 
9189   0.15206857  0.02679913   5.6744 1.392e-08 ***
9190   0.21788287  0.02692763   8.0914 6.661e-16 ***
9261   0.17623013  0.02662894   6.6180 3.641e-11 ***
9262   0.15565983  0.02672964   5.8235 5.763e-09 ***
9263   0.20478533  0.02664042   7.6870 1.510e-14 ***
9271   0.18202667  0.02668419   6.8215 9.008e-12 ***
9272   0.07602128  0.02674024   2.8430 0.0044697 ** 
9273   0.14989248  0.02665621   5.6232 1.875e-08 ***
9274   0.18197617  0.02662717   6.8342 8.245e-12 ***
9275   0.15903848  0.02667716   5.9616 2.498e-09 ***
9276   0.05425279  0.02669013   2.0327 0.0420838 *  
9277   0.19823061  0.02668650   7.4281 1.101e-13 ***
9278   0.13932305  0.02663562   5.2307 1.689e-07 ***
9279   0.17129844  0.02665209   6.4272 1.300e-10 ***
9361   0.11763499  0.02667236   4.4104 1.032e-05 ***
9362   0.15845149  0.02669960   5.9346 2.946e-09 ***
9363   0.10393887  0.02664554   3.9008 9.588e-05 ***
9371   0.12739319  0.02664798   4.7806 1.748e-06 ***
9372   0.14005311  0.02663652   5.2579 1.457e-07 ***
9373   0.10216824  0.02667317   3.8304 0.0001279 ***
9374   0.07516336  0.02665556   2.8198 0.0048054 ** 
9375   0.11368177  0.02663869   4.2675 1.976e-05 ***
9376   0.08979908  0.02664233   3.3705 0.0007502 ***
9377   0.12466892  0.02673276   4.6635 3.108e-06 ***
9461   0.07874678  0.02939712   2.6787 0.0073903 ** 
9462   0.10252606  0.02665303   3.8467 0.0001197 ***
9463   0.09738598  0.02665333   3.6538 0.0002584 ***
9464   0.06184832  0.02680108   2.3077 0.0210169 *  
