         Estimate  Std. Error  t-value  Pr(>|t|)    
1001  -0.12763538  0.02689215  -4.7462 2.073e-06 ***
1002  -0.12185957  0.02688062  -4.5334 5.805e-06 ***
1003  -0.12220312  0.02688416  -4.5455 5.479e-06 ***
1004  -0.06065570  0.02685429  -2.2587 0.0239023 *  
1051  -0.15201686  0.02688868  -5.6536 1.572e-08 ***
1053  -0.12482241  0.02687876  -4.6439 3.419e-06 ***
1054  -0.13064933  0.02686974  -4.8623 1.160e-06 ***
1055  -0.13402660  0.02688859  -4.9845 6.212e-07 ***
1056  -0.17906663  0.02686000  -6.6667 2.617e-11 ***
1057  -0.16693243  0.02686228  -6.2144 5.153e-10 ***
1058  -0.14241984  0.02686793  -5.3007 1.153e-07 ***
1059  -0.16773278  0.02688547  -6.2388 4.410e-10 ***
1060  -0.12438639  0.02686399  -4.6302 3.653e-06 ***
1061  -0.13684673  0.02685714  -5.0954 3.481e-07 ***
1062  -0.12821587  0.02685207  -4.7749 1.798e-06 ***
3103   0.04401818  0.03062456   1.4373 0.1506189    
3151   0.09072427  0.02682330   3.3823 0.0007188 ***
3152   0.13699426  0.02681008   5.1098 3.225e-07 ***
3153   0.17411605  0.02762874   6.3020 2.938e-10 ***
3154   0.10235711  0.02761668   3.7064 0.0002103 ***
3155   0.14362750  0.02683923   5.3514 8.728e-08 ***
3156   0.11127126  0.02680236   4.1515 3.302e-05 ***
3157   0.12536003  0.02760425   4.5413 5.590e-06 ***
3158   0.20077633  0.03493987   5.7463 9.120e-09 ***
3241   0.08765521  0.02680826   3.2697 0.0010766 ** 
3251   0.06602765  0.02683333   2.4607 0.0138682 *  
3252   0.13372543  0.02682435   4.9852 6.189e-07 ***
3254   0.11620195  0.02681242   4.3339 1.465e-05 ***
3255   0.11273447  0.02682538   4.2025 2.639e-05 ***
3256   0.06072171  0.02686937   2.2599 0.0238283 *  
3257   0.11540087  0.02680880   4.3046 1.673e-05 ***
3351   0.07403224  0.02682207   2.7601 0.0057779 ** 
3352   0.06275025  0.02682864   2.3389 0.0193392 *  
3353   0.02228550  0.02685719   0.8298 0.4066644    
3354   0.02946280  0.02683620   1.0979 0.2722589    
3355  -0.02671304  0.02688931  -0.9934 0.3204934    
3356   0.03767802  0.02684045   1.4038 0.1603851    
3357   0.02373823  0.02685516   0.8839 0.3767312    
3358   0.01546949  0.02684163   0.5763 0.5643958    
3359   0.06005966  0.02682397   2.2390 0.0251540 *  
3360   0.06606140  0.02686203   2.4593 0.0139214 *  
3361   0.05022258  0.02686574   1.8694 0.0615684 .  
3404   0.04475156  0.02956309   1.5138 0.1300856    
3451   0.03157193  0.02681534   1.1774 0.2390426    
3452   0.04521960  0.02680983   1.6867 0.0916649 .  
3453   0.03679471  0.02684893   1.3704 0.1705512    
3454   0.01212073  0.02682084   0.4519 0.6513306    
3455   0.01512730  0.02682194   0.5640 0.5727611    
3456   0.05622367  0.02686942   2.0925 0.0363958 *  
3457   0.02273735  0.02681693   0.8479 0.3965086    
3458   0.01584135  0.02681786   0.5907 0.5547204    
3459   0.04991097  0.02682743   1.8604 0.0628225 .  
3460   0.03608620  0.02683563   1.3447 0.1787181    
3461  -0.00057730  0.02681681  -0.0215 0.9828248    
3462   0.03132679  0.02685228   1.1666 0.2433582    
5116   0.23711180  0.02680811   8.8448 < 2.2e-16 ***
5119   0.21859925  0.03062913   7.1370 9.541e-13 ***
5154   0.14034939  0.02686430   5.2244 1.747e-07 ***
5158   0.13232553  0.02686467   4.9256 8.409e-07 ***
5162   0.04028961  0.02686176   1.4999 0.1336437    
5166   0.01556183  0.02685151   0.5796 0.5622172    
5170   0.17098825  0.02681562   6.3764 1.813e-10 ***
5316  -0.28811271  0.02769483 -10.4031 < 2.2e-16 ***
