         Estimate  Std. Error  t-value  Pr(>|t|)    
1001  -0.13928985  0.02430918  -5.7299 1.005e-08 ***
1002  -0.12601509  0.02433348  -5.1787 2.235e-07 ***
1003  -0.10764792  0.02427543  -4.4344 9.231e-06 ***
1004  -0.06152629  0.02425410  -2.5367 0.0111891 *  
1051  -0.17100184  0.02435829  -7.0203 2.214e-12 ***
1053  -0.11353109  0.02421104  -4.6892 2.742e-06 ***
1054  -0.13232654  0.02448520  -5.4043 6.504e-08 ***
1055  -0.11649612  0.02437677  -4.7790 1.762e-06 ***
1056  -0.18374548  0.02428252  -7.5670 3.819e-14 ***
1057  -0.16377674  0.02427841  -6.7458 1.522e-11 ***
1058  -0.14627721  0.02429401  -6.0211 1.732e-09 ***
1059  -0.17586100  0.02431600  -7.2323 4.747e-13 ***
1060  -0.12463760  0.02424665  -5.1404 2.741e-07 ***
1061  -0.14399701  0.02432713  -5.9192 3.235e-09 ***
1062  -0.11812908  0.02423481  -4.8744 1.092e-06 ***
3103   0.08862369  0.02761509   3.2092 0.0013308 ** 
3151   0.10925410  0.02413434   4.5269 5.985e-06 ***
3152   0.13642117  0.02410666   5.6591 1.522e-08 ***
3153   0.17598743  0.02489515   7.0691 1.559e-12 ***
3154   0.12817105  0.02489037   5.1494 2.613e-07 ***
3155   0.15821378  0.02416171   6.5481 5.827e-11 ***
3156   0.10015076  0.02415592   4.1460 3.383e-05 ***
3157   0.15159331  0.02488399   6.0920 1.115e-09 ***
3158   0.23221884  0.03143465   7.3874 1.499e-13 ***
3241   0.10149318  0.02413289   4.2056 2.604e-05 ***
3251   0.06818790  0.02417372   2.8207 0.0047912 ** 
3252   0.13608608  0.02416130   5.6324 1.777e-08 ***
3254   0.12910459  0.02417151   5.3412 9.234e-08 ***
3255   0.11635849  0.02419028   4.8101 1.508e-06 ***
3256   0.06684460  0.02415512   2.7673 0.0056522 ** 
3257   0.11175055  0.02417783   4.6220 3.800e-06 ***
3351   0.08831885  0.02416096   3.6554 0.0002567 ***
3352   0.05456196  0.02432332   2.2432 0.0248842 *  
3353   0.02972621  0.02422106   1.2273 0.2197144    
3354   0.05435570  0.02414285   2.2514 0.0243589 *  
3355  -0.01577734  0.02421416  -0.6516 0.5146755    
3356   0.03242604  0.02423251   1.3381 0.1808568    
3357   0.02161438  0.02423680   0.8918 0.3725002    
3358   0.02228299  0.02419955   0.9208 0.3571539    
3359   0.05412031  0.02427792   2.2292 0.0258007 *  
3360   0.07845330  0.02414839   3.2488 0.0011589 ** 
3361   0.04703073  0.02419477   1.9438 0.0519149 .  
3404   0.04133515  0.02666218   1.5503 0.1210626    
3451   0.02512549  0.02427456   1.0351 0.3006436    
3452   0.03845195  0.02460538   1.5627 0.1181124    
3453   0.03273101  0.02423610   1.3505 0.1768536    
3454   0.00165581  0.02422629   0.0683 0.9455087    
3455   0.00452740  0.02445987   0.1851 0.8531543    
3456   0.04816735  0.02419965   1.9904 0.0465452 *  
3457   0.02418299  0.02444992   0.9891 0.3226226    
3458   0.01288541  0.02419725   0.5325 0.5943691    
3459   0.04220281  0.02415842   1.7469 0.0806514 .  
3460   0.03788341  0.02418477   1.5664 0.1172513    
3461  -0.00059176  0.02438956  -0.0243 0.9806430    
3462   0.02276529  0.02444304   0.9314 0.3516669    
5116   0.23213984  0.02412803   9.6212 < 2.2e-16 ***
5119   0.21557887  0.02760453   7.8095 5.773e-15 ***
5154   0.14179998  0.02414326   5.8733 4.273e-09 ***
5158   0.11352411  0.02415684   4.6995 2.609e-06 ***
5162   0.04517249  0.02415202   1.8703 0.0614366 .  
5166   0.01278394  0.02413577   0.5297 0.5963423    
5170   0.17576237  0.02414523   7.2794 3.353e-13 ***
5316  -0.31771801  0.02488814 -12.7658 < 2.2e-16 ***
5358   0.12219640  0.02415214   5.0594 4.205e-07 ***
5362   0.17185772  0.02413078   7.1219 1.064e-12 ***
5366   0.05169332  0.02417487   2.1383 0.0324918 *  
5370   0.20707085  0.02414889   8.5748 < 2.2e-16 ***
5374  -0.04566105  0.02425634  -1.8824 0.0597766 .  
5382   0.12831216  0.02413685   5.3160 1.061e-07 ***
5515  -0.00804826  0.02492487  -0.3229 0.7467705    
5554   0.11750711  0.02414082   4.8676 1.130e-06 ***
5558   0.12205206  0.02415429   5.0530 4.349e-07 ***
5562   0.05220062  0.02414753   2.1617 0.0306384 *  
5566   0.02224315  0.02416134   0.9206 0.3572545    
5570   0.02750632  0.02416295   1.1384 0.2549670    
5711   0.09447309  0.02488401   3.7965 0.0001467 ***
5754  -0.02925631  0.02413328  -1.2123 0.2254048    
5758   0.14962262  0.02417772   6.1885 6.076e-10 ***
5762   0.13432417  0.02414703   5.5628 2.655e-08 ***
5766   0.06572850  0.02417210   2.7192 0.0065442 ** 
5770   0.09475997  0.02417309   3.9201 8.853e-05 ***
5774   0.06224222  0.02418179   2.5739 0.0100551 *  
5913   0.19723801  0.02570858   7.6721 1.688e-14 ***
5914   0.27910401  0.03147938   8.8662 < 2.2e-16 ***
5915   0.17637578  0.02414986   7.3034 2.807e-13 ***
5954   0.00649736  0.02495463   0.2604 0.7945809    
5958  -0.09124172  0.02422156  -3.7670 0.0001652 ***
5962  -0.02668190  0.02420721  -1.1022 0.2703618    
5966  -0.21002625  0.02424654  -8.6621 < 2.2e-16 ***
5970   0.02027568  0.02424645   0.8362 0.4030239    
5974   0.09476437  0.02413879   3.9258 8.644e-05 ***
5978   0.12563098  0.02415085   5.2019 1.972e-07 ***
6411   0.14391472  0.02488723   5.7827 7.352e-09 ***
6412   0.16071340  0.02489041   6.4568 1.069e-10 ***
6413   0.14270136  0.03143570   4.5395 5.640e-06 ***
6414   0.17878995  0.02415495   7.4018 1.343e-13 ***
6431   0.15380733  0.02415369   6.3679 1.917e-10 ***
6432   0.26275826  0.02413673  10.8862 < 2.2e-16 ***
6433   0.19657029  0.02418244   8.1286 4.441e-16 ***
6434   0.08093483  0.02413989   3.3527 0.0008002 ***
6435   0.07606844  0.02413213   3.1522 0.0016207 ** 
6436   0.17143221  0.02416694   7.0937 1.306e-12 ***
6437  -0.01907211  0.02412683  -0.7905 0.4292394    
6438   0.16533905  0.02488342   6.6445 3.042e-11 ***
6439   0.09250997  0.02414846   3.8309 0.0001277 ***
6440   0.19242257  0.02411214   7.9803 1.554e-15 ***
6531   0.17032844  0.02411012   7.0646 1.611e-12 ***
6532   0.13069364  0.02484512   5.2603 1.438e-07 ***
6533   0.08300147  0.02410871   3.4428 0.0005757 ***
6534   0.17583109  0.02412782   7.2875 3.157e-13 ***
6535   0.14429208  0.02415084   5.9746 2.306e-09 ***
6611   0.14765664  0.02757820   5.3541 8.598e-08 ***
6631   0.09789567  0.02411908   4.0588 4.932e-05 ***
6632   0.09591200  0.02414068   3.9730 7.096e-05 ***
6633   0.15918147  0.02414254   6.5934 4.299e-11 ***
6634   0.18456281  0.02412293   7.6509 1.998e-14 ***
6635   0.15427457  0.02415410   6.3871 1.691e-10 ***
6636   0.14790370  0.02411827   6.1324 8.654e-10 ***
7132   0.04748338  0.02871376   1.6537 0.0981924 .  
7134  -0.03126865  0.03152064  -0.9920 0.3211948    
7137   0.08660814  0.02660883   3.2549 0.0011345 ** 
7138   0.12280085  0.02760882   4.4479 8.672e-06 ***
7140   0.06606869  0.03006728   2.1974 0.0279946 *  
7141   0.08640131  0.02484821   3.4772 0.0005067 ***
7143   0.10068165  0.02568737   3.9195 8.873e-05 ***
7231   0.05621785  0.02417748   2.3252 0.0200604 *  
7232   0.04893760  0.02417717   2.0241 0.0429574 *  
7235   0.05635731  0.02418685   2.3301 0.0198019 *  
7333   0.05856359  0.02663670   2.1986 0.0279060 *  
7336  -0.01564315  0.02415945  -0.6475 0.5173110    
7340   0.04639542  0.02569376   1.8057 0.0709640 .  
8115   0.06464642  0.02755532   2.3461 0.0189731 *  
8116   0.06019716  0.02415861   2.4917 0.0127116 *  
8117   0.08833990  0.02494301   3.5417 0.0003976 ***
8118   0.14246645  0.02412851   5.9045 3.537e-09 ***
8119   0.04049201  0.02415579   1.6763 0.0936822 .  
8125   0.08190322  0.02413885   3.3930 0.0006913 ***
8126   0.08407688  0.02413445   3.4837 0.0004946 ***
8127   0.02734644  0.02414760   1.1325 0.2574368    
8128   0.05253867  0.02412869   2.1774 0.0294481 *  
8135   0.02611266  0.02868096   0.9105 0.3625838    
8136   0.03227872  0.02412800   1.3378 0.1809578    
8215   0.04841491  0.02872996   1.6852 0.0919555 .  
8216   0.03283353  0.02873968   1.1424 0.2532688    
8225   0.00892320  0.02412710   0.3698 0.7115005    
8226   0.04814900  0.02415368   1.9934 0.0462129 *  
8235  -0.02018910  0.02871246  -0.7031 0.4819636    
8236   0.12015225  0.02412149   4.9811 6.321e-07 ***
8237   0.03385236  0.02418100   1.4000 0.1615262    
8315   0.02180846  0.02874622   0.7587 0.4480590    
8316   0.06796533  0.03146808   2.1598 0.0307868 *  
8317   0.03691261  0.02661866   1.3867 0.1655274    
8325  -0.03112698  0.02420245  -1.2861 0.1984052    
8326   0.05314101  0.02877467   1.8468 0.0647764 .  
8327   0.01885497  0.02496724   0.7552 0.4501358    
8335   0.03167019  0.02417789   1.3099 0.1902356    
8336   0.09798692  0.02875096   3.4081 0.0006541 ***
8337   0.02162294  0.02420486   0.8933 0.3716802    
8415  -0.09777124  0.02491721  -3.9238 8.715e-05 ***
8416   0.03192869  0.02869300   1.1128 0.2658075    
8417  -0.03039171  0.02417816  -1.2570 0.2087571    
8425   0.04762660  0.02414195   1.9728 0.0485214 *  
8426   0.06518587  0.02417231   2.6967 0.0070027 ** 
8435   0.09300060  0.02875264   3.2345 0.0012185 ** 
8436  -0.00036013  0.02419649  -0.0149 0.9881252    
8437   0.02366877  0.02420714   0.9778 0.3281931    
9161   0.11136273  0.02414294   4.6126 3.976e-06 ***
9162   0.10805632  0.02423867   4.4580 8.272e-06 ***
9163   0.09911777  0.02454944   4.0375 5.403e-05 ***
9171   0.13803670  0.02421828   5.6997 1.200e-08 ***
9172   0.14716307  0.02437073   6.0385 1.555e-09 ***
9173  -0.07242083  0.02452856  -2.9525 0.0031520 ** 
9174   0.06753454  0.02421375   2.7891 0.0052855 ** 
9175   0.11798181  0.02426172   4.8629 1.157e-06 ***
9176   0.15418985  0.02414138   6.3870 1.692e-10 ***
9177   0.16850189  0.02418943   6.9659 3.262e-12 ***
9178   0.07026377  0.02417326   2.9067 0.0036529 ** 
9179   0.13021492  0.02424303   5.3712 7.820e-08 ***
9181   0.08732253  0.02429458   3.5943 0.0003252 ***
9182   0.07240861  0.02456536   2.9476 0.0032026 ** 
9183   0.17417316  0.02418827   7.2007 5.989e-13 ***
9184   0.04836219  0.02427214   1.9925 0.0463164 *  
9185   0.14655636  0.02416090   6.0658 1.313e-09 ***
9186   0.12919053  0.02414010   5.3517 8.713e-08 ***
9187   0.16091382  0.02436236   6.6050 3.975e-11 ***
9188   0.04405047  0.02432346   1.8110 0.0701365 .  
9189   0.10315689  0.02424575   4.2546 2.094e-05 ***
9190   0.14978162  0.02443679   6.1293 8.824e-10 ***
9261   0.16950262  0.02417141   7.0125 2.341e-12 ***
9262   0.13051170  0.02417741   5.3981 6.736e-08 ***
9263   0.20468157  0.02413526   8.4806 < 2.2e-16 ***
9271   0.17215265  0.02418354   7.1186 1.090e-12 ***
9272   0.04602101  0.02420370   1.9014 0.0572492 .  
9273   0.14777120  0.02413600   6.1224 9.215e-10 ***
9274   0.17530555  0.02415772   7.2567 3.966e-13 ***
9275   0.13447331  0.02418011   5.5613 2.677e-08 ***
9276   0.02300199  0.02420300   0.9504 0.3419203    
9277   0.17781174  0.02418782   7.3513 1.963e-13 ***
9278   0.13699367  0.02413738   5.6756 1.382e-08 ***
9279   0.16234803  0.02415936   6.7199 1.819e-11 ***
9361   0.12756140  0.02416000   5.2799 1.293e-07 ***
9362   0.16233864  0.02418741   6.7117 1.924e-11 ***
9363   0.10867129  0.02414457   4.5009 6.768e-06 ***
9371   0.12448195  0.02415172   5.1542 2.548e-07 ***
9372   0.13258346  0.02416317   5.4870 4.088e-08 ***
9373   0.08771416  0.02415534   3.6313 0.0002820 ***
9374   0.06296526  0.02418760   2.6032 0.0092357 ** 
9375   0.11097124  0.02412927   4.5990 4.245e-06 ***
9376   0.08506517  0.02414740   3.5227 0.0004271 ***
9377   0.10129001  0.02416402   4.1918 2.768e-05 ***
9461   0.08606812  0.02659240   3.2366 0.0012098 ** 
9462   0.08549053  0.02412416   3.5438 0.0003944 ***
9463   0.09429326  0.02411245   3.9106 9.208e-05 ***
9464   0.03140011  0.02416629   1.2993 0.1938290    
9471   0.06694642  0.02415617   2.7714 0.0055816 ** 
9472   0.05933478  0.02410516   2.4615 0.0138358 *  
9473   0.06298988  0.02411942   2.6116 0.0090124 ** 
9474   0.10223563  0.02415302   4.2328 2.308e-05 ***
9475   0.02697179  0.02418034   1.1154 0.2646607    
9476  -0.03574134  0.02413489  -1.4809 0.1386334    
9477   0.14658360  0.02411250   6.0792 1.208e-09 ***
9478   0.08269269  0.02412041   3.4283 0.0006073 ***
9479   0.01345277  0.02416390   0.5567 0.5777118    
9561   0.14902667  0.02416562   6.1669 6.965e-10 ***
9562   0.05075657  0.02413065   2.1034 0.0354302 *  
9563   0.05178930  0.02415434   2.1441 0.0320250 *  
9564   0.08802746  0.02414311   3.6461 0.0002663 ***
9565   0.10397533  0.02418132   4.2998 1.709e-05 ***
9571   0.10043895  0.02412084   4.1640 3.127e-05 ***
9572   0.04443381  0.02412884   1.8415 0.0655449 .  
9573   0.04297812  0.02414046   1.7803 0.0750211 .  
9574   0.06510661  0.02412527   2.6987 0.0069613 ** 
9575   0.09545999  0.02415267   3.9524 7.739e-05 ***
9576   0.08788944  0.02411719   3.6443 0.0002682 ***
9577   0.13263208  0.02411332   5.5004 3.790e-08 ***
9661   0.13367393  0.02417242   5.5300 3.202e-08 ***
9662   0.07026720  0.02413565   2.9113 0.0035988 ** 
9663   0.20509231  0.02412411   8.5015 < 2.2e-16 ***
