        Estimate Std. Error  t-value  Pr(>|t|)    
1001  -0.1358700  0.0243656  -5.5763 2.457e-08 ***
1002  -0.1160162  0.0243515  -4.7642 1.896e-06 ***
1003  -0.1000484  0.0243686  -4.1056 4.032e-05 ***
1004  -0.0531724  0.0243183  -2.1865 0.0287776 *  
1051  -0.1671770  0.0243142  -6.8757 6.169e-12 ***
1053  -0.1084817  0.0243367  -4.4575 8.291e-06 ***
1054  -0.1321816  0.0243414  -5.4303 5.626e-08 ***
1055  -0.1056430  0.0244142  -4.3271 1.511e-05 ***
1056  -0.1762701  0.0243643  -7.2348 4.663e-13 ***
1057  -0.1560715  0.0243586  -6.4072 1.482e-10 ***
1058  -0.1395956  0.0243253  -5.7387 9.540e-09 ***
1059  -0.1716950  0.0243315  -7.0565 1.708e-12 ***
1060  -0.1183434  0.0243464  -4.8608 1.169e-06 ***
1061  -0.1377586  0.0243725  -5.6522 1.584e-08 ***
1062  -0.1106778  0.0243402  -4.5471 5.439e-06 ***
3103   0.0918784  0.0277829   3.3070 0.0009430 ***
3151   0.1121022  0.0242766   4.6177 3.880e-06 ***
3152   0.1303286  0.0242702   5.3699 7.878e-08 ***
3153   0.1761176  0.0250410   7.0332 2.019e-12 ***
3154   0.1309820  0.0250362   5.2317 1.679e-07 ***
3155   0.1555202  0.0243208   6.3945 1.610e-10 ***
3156   0.0968397  0.0243089   3.9837 6.785e-05 ***
3157   0.1547510  0.0250299   6.1827 6.303e-10 ***
3158   0.2299989  0.0316297   7.2716 3.553e-13 ***
3241   0.1053143  0.0242700   4.3393 1.430e-05 ***
3251   0.0747849  0.0242826   3.0798 0.0020716 ** 
3252   0.1360856  0.0243012   5.6000 2.144e-08 ***
3254   0.1292983  0.0243163   5.3174 1.053e-07 ***
3255   0.1152176  0.0243421   4.7333 2.209e-06 ***
3256   0.0725152  0.0242807   2.9865 0.0028215 ** 
3257   0.1171663  0.0243076   4.8202 1.434e-06 ***
3351   0.0921051  0.0242967   3.7908 0.0001501 ***
3352   0.0618827  0.0243196   2.5446 0.0109414 *  
3353   0.0368680  0.0243362   1.5149 0.1297861    
3354   0.0573202  0.0242845   2.3604 0.0182574 *  
3355  -0.0086831  0.0243257  -0.3570 0.7211284    
3356   0.0392097  0.0243032   1.6134 0.1066667    
3357   0.0283560  0.0243435   1.1648 0.2440901    
3358   0.0273677  0.0243243   1.1251 0.2605381    
3359   0.0626298  0.0243582   2.5712 0.0101345 *  
3360   0.0812465  0.0242825   3.3459 0.0008202 ***
3361   0.0545469  0.0243029   2.2445 0.0248030 *  
3404   0.0454722  0.0268069   1.6963 0.0898320 .  
3451   0.0334064  0.0242867   1.3755 0.1689767    
3452   0.0338127  0.0243132   1.3907 0.1643116    
3453   0.0412882  0.0243016   1.6990 0.0893214 .  
3454   0.0102450  0.0243022   0.4216 0.6733402    
3455   0.0074624  0.0243139   0.3069 0.7589052    
3456   0.0567017  0.0243077   2.3327 0.0196656 *  
3457   0.0248874  0.0242822   1.0249 0.3053981    
3458   0.0199263  0.0242832   0.8206 0.4118870    
3459   0.0463957  0.0242834   1.9106 0.0560573 .  
3460   0.0453719  0.0242848   1.8683 0.0617168 .  
3461   0.0065853  0.0243137   0.2708 0.7865080    
3462   0.0244464  0.0243147   1.0054 0.3146954    
5116   0.2385821  0.0242748   9.8284 < 2.2e-16 ***
5119   0.2268923  0.0277749   8.1690 2.220e-16 ***
5154   0.1490220  0.0242909   6.1349 8.522e-10 ***
5158   0.1210387  0.0242989   4.9812 6.318e-07 ***
5162   0.0518908  0.0243031   2.1352 0.0327484 *  
5166   0.0217680  0.0242827   0.8964 0.3700162    
5170   0.1825332  0.0242964   7.5128 5.795e-14 ***
5316  -0.3073348  0.0250552 -12.2663 < 2.2e-16 ***
5358   0.1279594  0.0242947   5.2670 1.387e-07 ***
5362   0.1774700  0.0242819   7.3087 2.698e-13 ***
5366   0.0554548  0.0243144   2.2807 0.0225640 *  
5370   0.2141007  0.0242897   8.8145 < 2.2e-16 ***
5374  -0.0431016  0.0244014  -1.7664 0.0773361 .  
5382   0.1330450  0.0242828   5.4790 4.278e-08 ***
5515  -0.0047172  0.0250687  -0.1882 0.8507416    
5554   0.1224334  0.0242796   5.0426 4.591e-07 ***
5558   0.1255403  0.0242952   5.1673 2.375e-07 ***
5562   0.0562711  0.0242947   2.3162 0.0205478 *  
5566   0.0271439  0.0242958   1.1172 0.2638977    
5570   0.0314258  0.0243024   1.2931 0.1959726    
5711   0.0948312  0.0250330   3.7882 0.0001517 ***
5754  -0.0272004  0.0242746  -1.1205 0.2624884    
5758   0.1539555  0.0243113   6.3327 2.409e-10 ***
5762   0.1316318  0.0243023   5.4164 6.080e-08 ***
5766   0.0662283  0.0243136   2.7239 0.0064512 ** 
5770   0.0975186  0.0243100   4.0115 6.035e-05 ***
5774   0.0629388  0.0243266   2.5872 0.0096749 ** 
5913   0.1980631  0.0258602   7.6590 1.865e-14 ***
5914   0.2824885  0.0316435   8.9272 < 2.2e-16 ***
5915   0.1796047  0.0242972   7.3920 1.446e-13 ***
5954   0.0106163  0.0250938   0.4231 0.6722490    
5958  -0.0908528  0.0244200  -3.7204 0.0001989 ***
5962  -0.0259662  0.0243556  -1.0661 0.2863661    
5966  -0.2110366  0.0244271  -8.6395 < 2.2e-16 ***
5970   0.0226296  0.0244366   0.9261 0.3544177    
5974   0.0945167  0.0242857   3.8919 9.948e-05 ***
5978   0.1275674  0.0242973   5.2503 1.519e-07 ***
6411   0.1409857  0.0250377   5.6309 1.792e-08 ***
6412   0.1686916  0.0250977   6.7214 1.800e-11 ***
6413   0.1513701  0.0316685   4.7798 1.754e-06 ***
6414   0.1869928  0.0243235   7.6877 1.488e-14 ***
6431   0.1570241  0.0243317   6.4535 1.093e-10 ***
6432   0.2604970  0.0242878  10.7254 < 2.2e-16 ***
6433   0.1972946  0.0243428   8.1048 4.441e-16 ***
6434   0.0849363  0.0242915   3.4965 0.0004713 ***
6435   0.0745298  0.0242868   3.0687 0.0021497 ** 
6436   0.1778788  0.0243427   7.3073 2.727e-13 ***
6437  -0.0147003  0.0242797  -0.6055 0.5448765    
6438   0.1670722  0.0250516   6.6691 2.573e-11 ***
6439   0.0954965  0.0243022   3.9295 8.511e-05 ***
6440   0.1924172  0.0242693   7.9284 2.220e-15 ***
6531   0.1683565  0.0242654   6.9381 3.973e-12 ***
6532   0.1283505  0.0250093   5.1321 2.865e-07 ***
6533   0.0765609  0.0242658   3.1551 0.0016044 ** 
6534   0.1719618  0.0242917   7.0790 1.452e-12 ***
6535   0.1411824  0.0243242   5.8042 6.468e-09 ***
6611   0.1474019  0.0277490   5.3120 1.084e-07 ***
6631   0.0917755  0.0242977   3.7771 0.0001586 ***
6632   0.0907349  0.0243153   3.7316 0.0001903 ***
6633   0.1574639  0.0243004   6.4799 9.179e-11 ***
6634   0.1809563  0.0242864   7.4509 9.259e-14 ***
