        Estimate Std. Error  t-value  Pr(>|t|)    
1001  -0.1151400  0.0279999  -4.1122 3.920e-05 ***
1002  -0.1176321  0.0279615  -4.2069 2.589e-05 ***
1003  -0.1225395  0.0279512  -4.3840 1.165e-05 ***
1004  -0.0549425  0.0279118  -1.9684 0.0490186 *  
1051  -0.1447532  0.0279454  -5.1799 2.220e-07 ***
1053  -0.1330661  0.0278989  -4.7696 1.846e-06 ***
1054  -0.1142720  0.0280194  -4.0783 4.536e-05 ***
1055  -0.1259319  0.0279069  -4.5126 6.404e-06 ***
1056  -0.1778786  0.0278952  -6.3767 1.810e-10 ***
1057  -0.1646719  0.0279284  -5.8962 3.719e-09 ***
1058  -0.1378120  0.0279444  -4.9316 8.154e-07 ***
1059  -0.1538682  0.0280028  -5.4947 3.913e-08 ***
1060  -0.1257665  0.0279187  -4.5047 6.646e-06 ***
1061  -0.1314978  0.0279090  -4.7117 2.457e-06 ***
1062  -0.1304308  0.0278985  -4.6752 2.937e-06 ***
3103   0.0466669  0.0319133   1.4623 0.1436580    
3151   0.0944830  0.0279269   3.3832 0.0007164 ***
3152   0.1403858  0.0278807   5.0352 4.773e-07 ***
3153   0.1673496  0.0287835   5.8141 6.097e-09 ***
3154   0.0928188  0.0288128   3.2214 0.0012755 ** 
3155   0.1450956  0.0279001   5.2005 1.987e-07 ***
3156   0.1122043  0.0278793   4.0246 5.706e-05 ***
3157   0.1226267  0.0287928   4.2589 2.054e-05 ***
3158   0.1976687  0.0363972   5.4309 5.608e-08 ***
3241   0.0757295  0.0279149   2.7129 0.0066703 ** 
3251   0.0532703  0.0278823   1.9105 0.0560640 .  
3252   0.1128035  0.0278921   4.0443 5.249e-05 ***
3254   0.1026946  0.0279221   3.6779 0.0002352 ***
3255   0.1032734  0.0279150   3.6996 0.0002160 ***
3256   0.0380794  0.0278888   1.3654 0.1721261    
3257   0.0856167  0.0278818   3.0707 0.0021356 ** 
3351   0.0717115  0.0279231   2.5682 0.0102235 *  
3352   0.0663811  0.0279418   2.3757 0.0175162 *  
3353   0.0252625  0.0278862   0.9059 0.3649819    
3354   0.0443291  0.0279033   1.5887 0.1121356    
3355  -0.0200710  0.0279184  -0.7189 0.4721927    
3356   0.0423330  0.0279154   1.5165 0.1293996    
3357   0.0258015  0.0278873   0.9252 0.3548580    
3358   0.0044678  0.0278925   0.1602 0.8727396    
3359   0.0647160  0.0278744   2.3217 0.0202493 *  
3360   0.0685898  0.0279153   2.4571 0.0140077 *  
3361   0.0397666  0.0279291   1.4238 0.1544926    
3404   0.0179949  0.0306958   0.5862 0.5577187    
3451   0.0351015  0.0278827   1.2589 0.2080669    
3452   0.0628824  0.0279265   2.2517 0.0243404 *  
3453   0.0360832  0.0278976   1.2934 0.1958673    
3454   0.0116275  0.0279051   0.4167 0.6769127    
3455   0.0232697  0.0279322   0.8331 0.4048018    
3456   0.0454838  0.0279195   1.6291 0.1032905    
3457   0.0506124  0.0279089   1.8135 0.0697570 .  
3458   0.0167802  0.0278643   0.6022 0.5470349    
3459   0.0298524  0.0278760   1.0709 0.2842135    
3460   0.0238764  0.0279115   0.8554 0.3923109    
3461   0.0129399  0.0279305   0.4633 0.6431578    
3462   0.0450622  0.0279343   1.6131 0.1067120    
5116   0.2000439  0.0279666   7.1530 8.493e-13 ***
5119   0.1857445  0.0319655   5.8108 6.218e-09 ***
5154   0.1239927  0.0279259   4.4401 8.993e-06 ***
5158   0.1048427  0.0279306   3.7537 0.0001743 ***
5162   0.0069954  0.0279858   0.2500 0.8026166    
5166  -0.0118449  0.0280149  -0.4228 0.6724350    
5170   0.1542062  0.0279510   5.5170 3.448e-08 ***
5316  -0.3433678  0.0289034 -11.8798 < 2.2e-16 ***
5358   0.0833782  0.0279117   2.9872 0.0028153 ** 
5362   0.1251023  0.0279706   4.4726 7.726e-06 ***
5366   0.0131329  0.0278767   0.4711 0.6375654    
5370   0.1711548  0.0279235   6.1294 8.820e-10 ***
5374  -0.0233060  0.0279127  -0.8350 0.4037396    
5382   0.0835917  0.0279415   2.9917 0.0027746 ** 
5515  -0.0401680  0.0287768  -1.3958 0.1627609    
5554   0.1045191  0.0278888   3.7477 0.0001785 ***
5558   0.0949332  0.0279140   3.4009 0.0006716 ***
5562   0.0248751  0.0279521   0.8899 0.3735081    
5566   0.0053484  0.0279049   0.1917 0.8480041    
5570  -0.0072239  0.0279171  -0.2588 0.7958184    
5711   0.0733214  0.0287225   2.5528 0.0106876 *  
5754  -0.0578157  0.0279010  -2.0722 0.0382491 *  
5758   0.1254642  0.0278735   4.5012 6.757e-06 ***
5762   0.1317807  0.0279104   4.7216 2.340e-06 ***
5766   0.0635737  0.0278773   2.2805 0.0225790 *  
5770   0.0563804  0.0278928   2.0213 0.0432460 *  
5774   0.0513081  0.0278962   1.8393 0.0658782 .  
5913   0.1811073  0.0296826   6.1015 1.051e-09 ***
5914   0.2638522  0.0363362   7.2614 3.830e-13 ***
5915   0.1529220  0.0279140   5.4783 4.294e-08 ***
5954   0.0095154  0.0287479   0.3310 0.7406472    
5958  -0.0597570  0.0280019  -2.1340 0.0328400 *  
5962  -0.0083074  0.0278745  -0.2980 0.7656824    
5966  -0.1813415  0.0279055  -6.4984 8.117e-11 ***
5970   0.0580386  0.0279462   2.0768 0.0378206 *  
5974   0.0796365  0.0279144   2.8529 0.0043325 ** 
5978   0.1043587  0.0279009   3.7403 0.0001838 ***
6411   0.0665387  0.0289901   2.2952 0.0217205 *  
6412   0.0841728  0.0291613   2.8865 0.0038961 ** 
6413   0.0883908  0.0365807   2.4163 0.0156782 *  
6414   0.1164191  0.0281180   4.1404 3.467e-05 ***
6431   0.0752643  0.0283317   2.6565 0.0078947 ** 
6432   0.1926829  0.0280803   6.8618 6.798e-12 ***
6433   0.0963676  0.0283299   3.4016 0.0006699 ***
6434   0.0552380  0.0279241   1.9781 0.0479124 *  
6435   0.0420298  0.0279189   1.5054 0.1322151    
6436   0.0982932  0.0281747   3.4887 0.0004854 ***
6437  -0.0412263  0.0279980  -1.4725 0.1408930    
