         Estimate  Std. Error  t-value  Pr(>|t|)    
1001  -0.13257459  0.02759773  -4.8038 1.557e-06 ***
1002  -0.13318603  0.02758537  -4.8281 1.378e-06 ***
1003  -0.13129686  0.02763581  -4.7510 2.024e-06 ***
1004  -0.06449148  0.02760373  -2.3363 0.0194739 *  
1051  -0.16493222  0.02759263  -5.9774 2.267e-09 ***
1053  -0.12640360  0.02761380  -4.5776 4.704e-06 ***
1054  -0.13451183  0.02761887  -4.8703 1.114e-06 ***
1055  -0.13712788  0.02763831  -4.9615 6.995e-07 ***
1056  -0.17152078  0.02761506  -6.2111 5.260e-10 ***
1057  -0.16875408  0.02758108  -6.1185 9.448e-10 ***
1058  -0.14664889  0.02758923  -5.3154 1.064e-07 ***
1059  -0.16875641  0.02758705  -6.1172 9.521e-10 ***
1060  -0.13249071  0.02762273  -4.7964 1.615e-06 ***
1061  -0.14154249  0.02762192  -5.1243 2.987e-07 ***
1062  -0.13322645  0.02761581  -4.8243 1.405e-06 ***
3103   0.03885421  0.03153388   1.2321 0.2178961    
3151   0.08673617  0.02758407   3.1444 0.0016641 ** 
3152   0.13202092  0.02758003   4.7868 1.694e-06 ***
3153   0.16905803  0.02846679   5.9388 2.871e-09 ***
3154   0.09695282  0.02843475   3.4097 0.0006504 ***
3155   0.13935726  0.02756634   5.0553 4.296e-07 ***
3156   0.10772799  0.02758968   3.9046 9.436e-05 ***
3157   0.12750499  0.02843958   4.4834 7.348e-06 ***
3158   0.19275580  0.03596227   5.3599 8.325e-08 ***
3241   0.08475195  0.02760078   3.0706 0.0021360 ** 
3251   0.05249420  0.02759397   1.9024 0.0571216 .  
3252   0.12504932  0.02759996   4.5308 5.877e-06 ***
3254   0.11079993  0.02759201   4.0157 5.928e-05 ***
3255   0.11108500  0.02758810   4.0266 5.660e-05 ***
3256   0.04780441  0.02763217   1.7300 0.0836254 .  
3257   0.09382764  0.02764893   3.3935 0.0006900 ***
3351   0.07016063  0.02758864   2.5431 0.0109874 *  
3352   0.06344413  0.02759512   2.2991 0.0214989 *  
3353   0.02875729  0.02758836   1.0424 0.2972399    
3354   0.03119587  0.02758239   1.1310 0.2580523    
3355  -0.03095564  0.02758852  -1.1220 0.2618421    
3356   0.04823784  0.02761216   1.7470 0.0806412 .  
3357   0.02841780  0.02758321   1.0303 0.3028894    
3358   0.01568103  0.02759860   0.5682 0.5699112    
3359   0.06742549  0.02760063   2.4429 0.0145699 *  
3360   0.06194866  0.02757682   2.2464 0.0246782 *  
3361   0.04645948  0.02760844   1.6828 0.0924138 .  
3404   0.02766022  0.03046352   0.9080 0.3638896    
3451   0.03636242  0.02760588   1.3172 0.1877722    
3452   0.04142879  0.02762074   1.4999 0.1336361    
3453   0.03321387  0.02759165   1.2038 0.2286803    
3454   0.00980020  0.02761641   0.3549 0.7226880    
3455   0.00586977  0.02761778   0.2125 0.8316891    
3456   0.05220349  0.02762638   1.8896 0.0588081 .  
3457   0.02849618  0.02761281   1.0320 0.3020762    
3458   0.00973009  0.02757779   0.3528 0.7242209    
3459   0.03626585  0.02762063   1.3130 0.1891834    
3460   0.02655323  0.02759522   0.9622 0.3359288    
3461   0.00190266  0.02762282   0.0689 0.9450852    
3462   0.02548436  0.02762784   0.9224 0.3563118    
5116   0.21704157  0.02764914   7.8498 4.219e-15 ***
5119   0.21236392  0.03173370   6.6921 2.200e-11 ***
5154   0.13477138  0.02766736   4.8711 1.110e-06 ***
5158   0.11244874  0.02762860   4.0700 4.701e-05 ***
5162   0.02431793  0.02767141   0.8788 0.3795040    
5166  -0.00062897  0.02765759  -0.0227 0.9818567    
5170   0.16348936  0.02766289   5.9101 3.420e-09 ***
5316  -0.32185074  0.02853807 -11.2779 < 2.2e-16 ***
5358   0.09634958  0.02764957   3.4847 0.0004927 ***
5362   0.14368331  0.02766916   5.1929 2.070e-07 ***
5366   0.03008781  0.02760502   1.0899 0.2757396    
5370   0.18735698  0.02766926   6.7713 1.276e-11 ***
5374  -0.03306441  0.02757956  -1.1989 0.2305770    
5382   0.09983625  0.02763475   3.6127 0.0003030 ***
5515  -0.00982856  0.02847605  -0.3452 0.7299802    
5554   0.11200825  0.02761529   4.0560 4.992e-05 ***
5558   0.11791862  0.02763823   4.2665 1.986e-05 ***
5562   0.04186524  0.02763720   1.5148 0.1298193    
5566   0.01668224  0.02766186   0.6031 0.5464573    
5570   0.01213946  0.02761318   0.4396 0.6602083    
5711   0.07487581  0.02843619   2.6331 0.0084605 ** 
5754  -0.04648146  0.02759451  -1.6844 0.0920956 .  
5758   0.13607085  0.02762251   4.9261 8.389e-07 ***
5762   0.12886362  0.02756941   4.6742 2.952e-06 ***
5766   0.06330282  0.02758510   2.2948 0.0217435 *  
5770   0.08299900  0.02764616   3.0022 0.0026805 ** 
5774   0.05786405  0.02757458   2.0985 0.0358649 *  
5913   0.19178684  0.02940282   6.5227 6.904e-11 ***
5914   0.27443038  0.03600337   7.6224 2.487e-14 ***
5915   0.16656031  0.02761921   6.0306 1.634e-09 ***
5954   0.01014055  0.02845121   0.3564 0.7215269    
5958  -0.06924269  0.02760243  -2.5086 0.0121220 *  
5962  -0.01181450  0.02756785  -0.4286 0.6682429    
5966  -0.18937069  0.02756737  -6.8694 6.448e-12 ***
5970   0.04315137  0.02763184   1.5617 0.1183695    
5974   0.09050127  0.02759770   3.2793 0.0010406 ** 
5978   0.11672788  0.02760503   4.2285 2.353e-05 ***
6411   0.10228790  0.02843866   3.5968 0.0003222 ***
6412   0.11733874  0.02849098   4.1185 3.814e-05 ***
6413   0.11302569  0.03598191   3.1412 0.0016827 ** 
6414   0.13566096  0.02760602   4.9142 8.915e-07 ***
6431   0.10906777  0.02762573   3.9480 7.879e-05 ***
6432   0.22259121  0.02759826   8.0654 6.661e-16 ***
6433   0.15329272  0.02765136   5.5438 2.960e-08 ***
6434   0.06926989  0.02758820   2.5109 0.0120440 *  
6435   0.06896920  0.02758225   2.5005 0.0124021 *  
6436   0.12492191  0.02763242   4.5208 6.159e-06 ***
6437  -0.01760360  0.02759209  -0.6380 0.5234772    
6438   0.12273413  0.02847948   4.3096 1.636e-05 ***
6439   0.08632995  0.02757703   3.1305 0.0017451 ** 
6440   0.17618995  0.02759214   6.3855 1.708e-10 ***
6531   0.15399998  0.02762747   5.5742 2.487e-08 ***
6532   0.11891674  0.02842845   4.1830 2.877e-05 ***
6533   0.06155847  0.02756572   2.2332 0.0255388 *  
6534   0.16203282  0.02759710   5.8714 4.322e-09 ***
6535   0.14881191  0.02758154   5.3953 6.839e-08 ***
6611   0.12651148  0.03151615   4.0142 5.965e-05 ***
6631   0.10435131  0.02762997   3.7767 0.0001589 ***
6632   0.08962722  0.02762444   3.2445 0.0011766 ** 
6633   0.15300794  0.02756875   5.5500 2.856e-08 ***
6634   0.17405097  0.02757286   6.3124 2.747e-10 ***
6635   0.15438532  0.02760172   5.5933 2.228e-08 ***
6636   0.14411598  0.02758265   5.2249 1.743e-07 ***
7132   0.04187100  0.03281244   1.2761 0.2019305    
7134  -0.02495598  0.03592870  -0.6946 0.4873077    
7137   0.06893910  0.03041379   2.2667 0.0234082 *  
7138   0.09835156  0.03152527   3.1198 0.0018099 ** 
7140   0.05953833  0.03427218   1.7372 0.0823483 .  
7141   0.06339872  0.02840687   2.2318 0.0256276 *  
7143   0.09228003  0.02933444   3.1458 0.0016564 ** 
7231   0.04023581  0.02757764   1.4590 0.1445648    
7232   0.04393648  0.02757236   1.5935 0.1110487    
7235   0.04005234  0.02756670   1.4529 0.1462447    
7333   0.02117710  0.03042923   0.6959 0.4864627    
7336  -0.03269963  0.02758643  -1.1854 0.2358783    
7340   0.03103207  0.02937142   1.0565 0.2907218    
8115   0.06436620  0.03150832   2.0428 0.0410691 *  
8116   0.05656682  0.02760277   2.0493 0.0404312 *  
8117   0.10679793  0.02846802   3.7515 0.0001758 ***
8118   0.11163482  0.02762250   4.0414 5.312e-05 ***
8119   0.02656752  0.02758515   0.9631 0.3354926    
8125   0.05115230  0.02763199   1.8512 0.0641410 .  
8126   0.06404859  0.02761583   2.3193 0.0203803 *  
