         Estimate  Std. Error  t-value  Pr(>|t|)    
1001  -0.13074577  0.02768035  -4.7234 2.319e-06 ***
1002  -0.13267296  0.02759254  -4.8083 1.522e-06 ***
1003  -0.13186896  0.02764454  -4.7702 1.841e-06 ***
1004  -0.06404657  0.02760930  -2.3197 0.0203546 *  
1051  -0.16336087  0.02765385  -5.9073 3.477e-09 ***
1053  -0.12681493  0.02761866  -4.5916 4.398e-06 ***
1054  -0.13279515  0.02769172  -4.7955 1.623e-06 ***
1055  -0.13743638  0.02764135  -4.9721 6.622e-07 ***
1056  -0.17127360  0.02761727  -6.2017 5.586e-10 ***
1057  -0.16857749  0.02758256  -6.1117 9.855e-10 ***
1058  -0.14584378  0.02760584  -5.2831 1.270e-07 ***
1059  -0.16740959  0.02763223  -6.0585 1.374e-09 ***
1060  -0.13231707  0.02762418  -4.7899 1.669e-06 ***
1061  -0.14087942  0.02763341  -5.0982 3.430e-07 ***
1062  -0.13341666  0.02761741  -4.8309 1.359e-06 ***
3103   0.03805669  0.03154834   1.2063 0.2277028    
3151   0.08627720  0.02758996   3.1271 0.0017653 ** 
3152   0.13151736  0.02758696   4.7674 1.866e-06 ***
3153   0.16849955  0.02847494   5.9175 3.269e-09 ***
3154   0.09604961  0.02845490   3.3755 0.0007368 ***
3155   0.13899058  0.02757036   5.0413 4.624e-07 ***
3156   0.10772215  0.02759040   3.9043 9.448e-05 ***
3157   0.12682870  0.02845120   4.4578 8.282e-06 ***
3158   0.19180258  0.03598030   5.3308 9.780e-08 ***
3241   0.08446581  0.02760351   3.0600 0.0022136 ** 
3251   0.05226315  0.02759599   1.8939 0.0582426 .  
3252   0.12501950  0.02760070   4.5296 5.910e-06 ***
3254   0.11040867  0.02759648   4.0008 6.312e-05 ***
3255   0.11104133  0.02758887   4.0249 5.701e-05 ***
3256   0.04761278  0.02763379   1.7230 0.0848901 .  
3257   0.09358103  0.02765114   3.3843 0.0007135 ***
3351   0.07001480  0.02758988   2.5377 0.0111584 *  
3352   0.06411679  0.02760693   2.3225 0.0202066 *  
3353   0.02868083  0.02758922   1.0396 0.2985412    
3354   0.03051739  0.02759440   1.1059 0.2687581    
3355  -0.03141844  0.02759449  -1.1386 0.2548799    
3356   0.04835071  0.02761319   1.7510 0.0799459 .  
3357   0.02851152  0.02758414   1.0336 0.3013139    
3358   0.01565885  0.02759932   0.5674 0.5704672    
3359   0.06787953  0.02760640   2.4588 0.0139389 *  
3360   0.06151378  0.02758218   2.2302 0.0257341 *  
3361   0.04631211  0.02760968   1.6774 0.0934670 .  
3404   0.02782262  0.03046490   0.9133 0.3611014    
3451   0.03655288  0.02760749   1.3240 0.1854963    
3452   0.04240651  0.02764487   1.5340 0.1250361    
3453   0.03322086  0.02759236   1.2040 0.2285944    
3454   0.00987210  0.02761726   0.3575 0.7207464    
3455   0.00667959  0.02763456   0.2417 0.8090039    
3456   0.05235273  0.02762764   1.8949 0.0581003 .  
3457   0.02871735  0.02761473   1.0399 0.2983730    
3458   0.00962841  0.02757876   0.3491 0.7269961    
3459   0.03638969  0.02762172   1.3174 0.1876944    
3460   0.02643559  0.02759627   0.9579 0.3380928    
3461   0.00228175  0.02762706   0.0826 0.9341766    
3462   0.02653502  0.02765559   0.9595 0.3373163    
5116   0.21727546  0.02765120   7.8577 3.997e-15 ***
5119   0.21285214  0.03173961   6.7062 1.998e-11 ***
5154   0.13507160  0.02767028   4.8815 1.053e-06 ***
5158   0.11339958  0.02765146   4.1010 4.113e-05 ***
5162   0.02452201  0.02767315   0.8861 0.3755474    
5166  -0.00028307  0.02766123  -0.0102 0.9918350    
5170   0.16384698  0.02766674   5.9222 3.177e-09 ***
5316  -0.32103596  0.02855455 -11.2429 < 2.2e-16 ***
5358   0.09616171  0.02765115   3.4777 0.0005058 ***
5362   0.14352580  0.02767049   5.1870 2.138e-07 ***
5366   0.02953067  0.02761334   1.0694 0.2848738    
5370   0.18752903  0.02767070   6.7772 1.226e-11 ***
5374  -0.03104455  0.02768022  -1.1215 0.2620569    
5382   0.09958027  0.02763707   3.6031 0.0003144 ***
5515  -0.00981480  0.02847680  -0.3447 0.7303505    
5554   0.11240284  0.02761983   4.0696 4.709e-05 ***
5558   0.11812763  0.02764002   4.2738 1.922e-05 ***
5562   0.04225240  0.02764159   1.5286 0.1263685    
5566   0.01682666  0.02766309   0.6083 0.5430078    
5570   0.01203444  0.02761416   0.4358 0.6629768    
5711   0.07522271  0.02843979   2.6450 0.0081696 ** 
5754  -0.04638392  0.02759546  -1.6809 0.0927915 .  
5758   0.13611760  0.02762328   4.9276 8.323e-07 ***
5762   0.12862579  0.02757152   4.6652 3.084e-06 ***
5766   0.06362714  0.02758839   2.3063 0.0210938 *  
5770   0.08278579  0.02764799   2.9943 0.0027509 ** 
5774   0.05791470  0.02757536   2.1002 0.0357083 *  
5913   0.19206939  0.02940542   6.5318 6.500e-11 ***
5914   0.27506832  0.03601196   7.6382 2.198e-14 ***
5915   0.16650423  0.02762001   6.0284 1.656e-09 ***
5954   0.01110005  0.02847384   0.3898 0.6966598    
5958  -0.06894149  0.02760538  -2.4974 0.0125110 *  
5962  -0.01110620  0.02758088  -0.4027 0.6871854    
5966  -0.18833657  0.02759433  -6.8252 8.781e-12 ***
5970   0.04443338  0.02767278   1.6057 0.1083462    
5974   0.09037658  0.02759880   3.2747 0.0010579 ** 
5978   0.11681996  0.02760595   4.2317 2.319e-05 ***
6411   0.10210515  0.02844019   3.5902 0.0003305 ***
6412   0.11698044  0.02849477   4.1053 4.037e-05 ***
6413   0.11274001  0.03598438   3.1330 0.0017301 ** 
6414   0.13522672  0.02761136   4.8975 9.706e-07 ***
6431   0.10885586  0.02762755   3.9401 8.144e-05 ***
6432   0.22243869  0.02759954   8.0595 6.661e-16 ***
6433   0.15280455  0.02765791   5.5248 3.299e-08 ***
6434   0.06916427  0.02758919   2.5069 0.0121783 *  
6435   0.06920638  0.02758435   2.5089 0.0121108 *  
6436   0.12453435  0.02763681   4.5061 6.603e-06 ***
6437  -0.01718260  0.02759715  -0.6226 0.5335327    
6438   0.12246935  0.02848188   4.2999 1.709e-05 ***
6439   0.08600844  0.02758028   3.1185 0.0018179 ** 
6440   0.17598343  0.02759390   6.3776 1.799e-10 ***
6531   0.15371929  0.02763012   5.5635 2.645e-08 ***
6532   0.11866998  0.02843064   4.1740 2.993e-05 ***
6533   0.06130914  0.02756796   2.2239 0.0261533 *  
6534   0.16172428  0.02760016   5.8595 4.641e-09 ***
6535   0.14875630  0.02758233   5.3932 6.922e-08 ***
6611   0.12607631  0.03152103   3.9998 6.341e-05 ***
6631   0.10426012  0.02763089   3.7733 0.0001611 ***
6632   0.08918449  0.02762996   3.2278 0.0012474 ** 
6633   0.15252993  0.02757508   5.5314 3.176e-08 ***
6634   0.17344249  0.02758266   6.2881 3.214e-10 ***
6635   0.15383568  0.02760985   5.5718 2.522e-08 ***
6636   0.14358563  0.02759027   5.2042 1.948e-07 ***
7132   0.04223882  0.03281609   1.2871 0.1980463    
7134  -0.02446143  0.03593424  -0.6807 0.4960439    
7137   0.06819532  0.03042689   2.2413 0.0250076 *  
