         Estimate  Std. Error  t-value  Pr(>|t|)    
1001  -0.12432655  0.02754387  -4.5138 6.369e-06 ***
1002  -0.12645382  0.02750071  -4.5982 4.262e-06 ***
1003  -0.12925346  0.02754474  -4.6925 2.699e-06 ***
1004  -0.05785943  0.02751794  -2.1026 0.0355001 *  
1051  -0.15856833  0.02754766  -5.7561 8.606e-09 ***
1053  -0.13398473  0.02755058  -4.8632 1.155e-06 ***
1054  -0.12617244  0.02761098  -4.5696 4.885e-06 ***
1055  -0.14460343  0.02751100  -5.2562 1.471e-07 ***
1056  -0.17873877  0.02754451  -6.4891 8.636e-11 ***
1057  -0.16822395  0.02748709  -6.1201 9.351e-10 ***
1058  -0.14125171  0.02750933  -5.1347 2.826e-07 ***
1059  -0.16731464  0.02752934  -6.0777 1.219e-09 ***
1060  -0.12763835  0.02749949  -4.6415 3.459e-06 ***
1061  -0.13557967  0.02753107  -4.9246 8.453e-07 ***
1062  -0.13360621  0.02751994  -4.8549 1.205e-06 ***
3103   0.04640561  0.03152047   1.4722 0.1409568    
3151   0.08848911  0.02752426   3.2149 0.0013047 ** 
3152   0.14424837  0.02750607   5.2442 1.569e-07 ***
3153   0.16871276  0.02840186   5.9402 2.847e-09 ***
3154   0.09767927  0.02839173   3.4404 0.0005808 ***
3155   0.14497327  0.02750507   5.2708 1.358e-07 ***
3156   0.10916351  0.02751810   3.9670 7.279e-05 ***
3157   0.12199155  0.02838990   4.2970 1.731e-05 ***
3158   0.19404900  0.03588064   5.4082 6.367e-08 ***
3241   0.08535346  0.02753878   3.0994 0.0019392 ** 
3251   0.06686824  0.02750288   2.4313 0.0150440 *  
3252   0.13280019  0.02752304   4.8251 1.400e-06 ***
3254   0.11365394  0.02754573   4.1260 3.691e-05 ***
3255   0.12079333  0.02750293   4.3920 1.123e-05 ***
3256   0.06307336  0.02750978   2.2928 0.0218617 *  
3257   0.10910532  0.02750736   3.9664 7.296e-05 ***
3351   0.07542321  0.02753469   2.7392 0.0061588 ** 
3352   0.05359605  0.02756294   1.9445 0.0518356 .  
3353   0.02009004  0.02754102   0.7295 0.4657209    
3354   0.02618606  0.02752938   0.9512 0.3415007    
3355  -0.02868890  0.02753400  -1.0419 0.2974374    
3356   0.03614853  0.02754052   1.3126 0.1893319    
3357   0.02472217  0.02757828   0.8964 0.3700197    
3358   0.01980561  0.02752065   0.7197 0.4717320    
3359   0.05770970  0.02753892   2.0956 0.0361205 *  
3360   0.06631875  0.02751826   2.4100 0.0159529 *  
3361   0.04719385  0.02754216   1.7135 0.0866181 .  
3404   0.03602462  0.03032251   1.1880 0.2348142    
3451   0.03159721  0.02751695   1.1483 0.2508524    
3452   0.03999497  0.02754908   1.4518 0.1465652    
3453   0.04329623  0.02749874   1.5745 0.1153764    
3454   0.01302192  0.02754567   0.4727 0.6363993    
3455   0.00097086  0.02752430   0.0353 0.9718621    
3456   0.05593737  0.02756637   2.0292 0.0424391 *  
3457   0.02494228  0.02750284   0.9069 0.3644606    
3458   0.01740149  0.02750864   0.6326 0.5270062    
3459   0.05121058  0.02752359   1.8606 0.0627998 .  
3460   0.03575702  0.02749780   1.3004 0.1934779    
3461  -0.00752057  0.02751397  -0.2733 0.7845946    
3462   0.01952853  0.02753828   0.7091 0.4782369    
5116   0.22994737  0.02751826   8.3562 < 2.2e-16 ***
5119   0.23261476  0.03153414   7.3766 1.623e-13 ***
5154   0.14063232  0.02755827   5.1031 3.342e-07 ***
5158   0.13096950  0.02753324   4.7568 1.967e-06 ***
5162   0.03911721  0.02755162   1.4198 0.1556720    
5166   0.00941635  0.02751836   0.3422 0.7322122    
5170   0.17109255  0.02751725   6.2176 5.047e-10 ***
5316  -0.31323965  0.02839192 -11.0327 < 2.2e-16 ***
5358   0.10590841  0.02753810   3.8459 0.0001201 ***
